listing_id,neighbourhood,risk_probability,high_risk_flag,risk_band
1321018765368748907,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.3254,0,Low
1321023523342576623,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.2215,0,Low
1321026131676580670,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.3414,0,Low
1321028571031475274,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.343,0,Low
1321037297519051443,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,0.9901,1,High
1321040395220537296,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.2403,0,Low
1321095953544867985,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.9876,1,High
1321154396701939900,ΝΕΟΣ ΚΟΣΜΟΣ,0.3473,0,Low
1321183079504102005,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.8304,1,High
1321224001872932381,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.9968,1,High
1321255951329074074,ΙΛΙΣΙΑ,0.2461,0,Low
1321492525805864245,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1119,0,Low
1321496719553657244,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.321,0,Low
1321500758752065149,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.321,0,Low
1321505729395319249,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.9917,1,High
1321512121271365093,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.9932,1,High
1321522298125177877,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1615,0,Low
1321529892857664997,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1321534103523121145,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1321538132067718798,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1321542847273930479,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1321546199076866385,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1321552186767816421,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1321555804794197412,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1321559640868108007,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1321564815071895408,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1321569892081309347,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1547,0,Low
1321647843283035041,ΓΚΑΖΙ,0.2496,0,Low
1321660839149685774,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.3666,0,Low
1321662999177095814,ΙΛΙΣΙΑ,0.4132,0,Moderate
1321663059387138896,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.5755,0,Moderate
1321674268099180266,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1615,0,Low
1321714186254874399,ΙΛΙΣΙΑ,0.5875,0,Moderate
1321716392230849655,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1042,0,Low
1321718715345778026,ΙΛΙΣΙΑ,0.3776,0,Low
1321720473696538912,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1034,0,Low
